distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532010,Bajarhathnoor,1910010,4,2018,207,207,385,4440,0,0,0,0,0,4825,0,1
532,Adilabad,532010,Bajarhathnoor,1910011,4,2018,254,255,420,5058,0,0,10,0,0,5613,0,4
532,Adilabad,532010,Bajarhathnoor,1910012,4,2018,365,365,350,7446,0,0,11,0,0,7944.5,0,6
532,Adilabad,532010,Bajarhathnoor,1910013,4,2018,485,517,1050,8646,0,0,30,0,0,10101,0,3
532,Adilabad,532010,Bajarhathnoor,1910014,4,2018,329,331,280,6426,0,0,0,0,0,6706,0,0
532,Adilabad,532010,Bajarhathnoor,1910015,4,2018,230,230,525,5106,0,0,0,0,0,5631,0,0
532,Adilabad,532010,Bajarhathnoor,1910016,4,2018,482,497,665,10788,0,0,19,0,0,11709.5,0,4
532,Adilabad,532010,Bajarhathnoor,1910017,4,2018,306,311,2871,4896,0,0,81,0,0,8860.5,0,5
532,Adilabad,532010,Bajarhathnoor,1910018,4,2018,133,133,0,3036,0,0,0,0,0,3036,0,3
532,Adilabad,532010,Bajarhathnoor,1910019,4,2018,253,254,630,5922,0,0,0,0,0,6552,0,2
532,Adilabad,532010,Bajarhathnoor,1910020,4,2018,299,300,350,5778,0,0,10,0,0,6263,0,2
532,Adilabad,532011,Boath,1911001,4,2018,280,280,2065,4391,0,0,0,0,0,6456,0,55
532,Adilabad,532011,Boath,1911002,4,2018,698,700,2625,12084,0,0,0,0,0,14709,0,294
532,Adilabad,532011,Boath,1911003,4,2018,596,598,1190,10950,0,0,0,0,0,12140,0,241
532,Adilabad,532011,Boath,1911004,4,2018,444,444,979,7836,0,0,28,0,0,9193,0,314
532,Adilabad,532011,Boath,1911005,4,2018,888,889,2590,15786,20,0,84,0,0,19510,0,364
532,Adilabad,532011,Boath,1911006,4,2018,452,452,980,7812,0,0,0,0,0,8792,0,6
532,Adilabad,532011,Boath,1911007,4,2018,183,183,560,3444,0,0,0,0,0,4004,0,74
532,Adilabad,532011,Boath,1911008,4,2018,222,222,910,4038,0,0,0,0,0,4948,0,5
532,Adilabad,532011,Boath,1911009,4,2018,630,630,1644,11592,0,0,0,0,0,13236,0,7
532,Adilabad,532011,Boath,1911010,4,2018,13,13,0,336,0,0,0,0,0,336,0,0
532,Adilabad,532011,Boath,1911011,4,2018,223,223,875,4512,0,0,0,0,0,5387,0,108
532,Adilabad,532011,Boath,1911012,4,2018,552,552,1365,9336,0,0,0,0,0,10701,0,94
532,Adilabad,532011,Boath,1911013,4,2018,549,549,1715,9618,0,0,0,0,0,11333,0,60
532,Adilabad,532011,Boath,1911014,4,2018,649,649,1050,11118,0,0,0,0,0,12168,0,14
532,Adilabad,532011,Boath,1911015,4,2018,421,423,1295,6510,0,0,0,0,0,7805,0,2
532,Adilabad,532011,Boath,1911016,4,2018,392,392,1610,7991,0,0,0,0,0,9601,0,5
532,Adilabad,532011,Boath,1911017,4,2018,731,734,945,13178,0,0,0,0,0,14123,0,79
532,Adilabad,532011,Boath,1911018,4,2018,828,828,1255,17418,0,0,0,0,0,18673,0,70
532,Adilabad,532011,Boath,1911019,4,2018,581,581,1080,10542,0,0,0,0,0,11622,0,18
532,Adilabad,532011,Boath,1911020,4,2018,493,493,1015,8832,0,0,0,0,0,9847,0,21
532,Adilabad,532011,Boath,1911021,4,2018,336,336,595,7470,0,0,0,0,0,8065,0,13
532,Adilabad,532011,Boath,1911022,4,2018,412,412,770,9270,0,0,21,0,0,10323.5,0,59
532,Adilabad,532011,Boath,1911023,4,2018,331,332,1085,6270,0,0,0,0,0,7355,0,2
532,Adilabad,532011,Boath,1911024,4,2018,494,494,1185,10632,0,0,0,0,0,11817,0,85
532,Adilabad,532012,Neradigonda,1912001,4,2018,418,419,840,8934,0,0,0,0,0,9774,0,5
532,Adilabad,532012,Neradigonda,1912002,4,2018,756,756,2485,15834,0,0,0,0,0,18319,0,18
532,Adilabad,532012,Neradigonda,1912003,4,2018,669,673,1400,11952,0,0,0,0,0,13352,0,9
532,Adilabad,532012,Neradigonda,1912004,4,2018,532,533,1820,10386,0,0,0,0,0,12206,0,12
532,Adilabad,532012,Neradigonda,1912005,4,2018,536,539,910,9924,0,0,0,0,0,10834,0,4
532,Adilabad,532012,Neradigonda,1912006,4,2018,635,636,1960,10356,0,0,0,0,0,12316,0,28
532,Adilabad,532012,Neradigonda,1912007,4,2018,972,976,2975,18960,0,0,0,0,0,21935,0,32
532,Adilabad,532012,Neradigonda,1912008,4,2018,158,158,665,3030,0,0,15,0,0,3897.5,0,0
532,Adilabad,532012,Neradigonda,1912010,4,2018,244,245,735,5238,0,0,0,0,0,5973,0,3
532,Adilabad,532012,Neradigonda,1912011,4,2018,515,516,735,11226,0,0,0,0,0,11961,0,7
532,Adilabad,532012,Neradigonda,1912012,4,2018,198,198,140,4380,0,0,0,0,0,4520,0,12
532,Adilabad,532012,Neradigonda,1912015,4,2018,249,249,455,5310,0,0,0,0,0,5765,0,0
532,Adilabad,532012,Neradigonda,1912016,4,2018,179,179,525,3894,0,0,0,0,0,4419,0,3
532,Adilabad,532026,Utnur,1926001,4,2018,960,960,3570,18741,0,0,101,0,0,23674.5,0,41
532,Adilabad,532026,Utnur,1926002,4,2018,821,826,3780,16680,0,0,71,0,0,21418.5,0,97
532,Adilabad,532026,Utnur,1926003,4,2018,689,690,3745,13476,0,0,1,0,0,17234.5,0,133
532,Adilabad,532026,Utnur,1926004,4,2018,593,596,3569,11183,0,0,102,0,0,16129,0,23
532,Adilabad,532026,Utnur,1926005,4,2018,459,460,6334,7056,0,0,180,0,0,15820,0,1
532,Adilabad,532026,Utnur,1926006,4,2018,712,718,5215,12786,0,0,145,0,0,19958.5,0,51
532,Adilabad,532026,Utnur,1926007,4,2018,760,766,3395,15174,0,0,96,0,0,19865,0,27
532,Adilabad,532026,Utnur,1926008,4,2018,581,581,3045,11370,0,0,87,0,0,15589.5,0,10
532,Adilabad,532026,Utnur,1926009,4,2018,452,453,6794,6175,0,0,199,0,0,15655.5,0,0
532,Adilabad,532026,Utnur,1926010,4,2018,210,231,1122,3852,0,0,31,0,0,5392.5,0,27
532,Adilabad,532026,Utnur,1926011,4,2018,445,449,5390,6732,0,0,154,0,0,14201,0,5
532,Adilabad,532026,Utnur,1926012,4,2018,341,366,910,7560,0,0,24,0,0,8794,0,4
